provider,model,endpoint,currency,input_price_per_1m,output_price_per_1m,notes
openai,gpt-5.2,chat.completions,EUR,0.00,0.00,"placeholder pricing, not real, do not use in production"
openai,gpt-5.1,chat.completions,EUR,0.00,0.00,"placeholder pricing, not real, do not use in production"
openai,gpt-5,chat.completions,EUR,0.00,0.00,"placeholder pricing, not real, do not use in production"
openai,gpt-5-mini,chat.completions,EUR,0.00,0.00,"placeholder pricing, not real, do not use in production"
openai,gpt-5-nano,chat.completions,EUR,0.00,0.00,"placeholder pricing, not real, do not use in production"
openai,gpt-4.1,chat.completions,EUR,0.00,0.00,"placeholder pricing, not real, do not use in production"
openai,gpt-4.1-mini,chat.completions,EUR,0.00,0.00,"placeholder pricing, not real, do not use in production"
openai,gpt-4.1-nano,chat.completions,EUR,0.00,0.00,"placeholder pricing, not real, do not use in production"
openai,gpt-4o,chat.completions,EUR,0.00,0.00,"placeholder pricing, not real, do not use in production"
openai,gpt-4o-mini,chat.completions,EUR,0.00,0.00,"placeholder pricing, not real, do not use in production"
